SEQ;BYTES;NAME;SETTER_IP;SETTER_PORT;RCV;DEL;ELA
1;32;set0_get_4;127.0.0.1;1102;774;96;921
2;32;set0_get_4;127.0.0.1;1102;34;178;1000178
3;32;set0_get_4;127.0.0.1;1102;36;167;1000160
4;32;set0_get_4;127.0.0.1;1102;28;208;1000244
5;32;set0_get_4;127.0.0.1;1102;32;100;1000176
6;32;set0_get_4;127.0.0.1;1102;16;71;1000138
7;32;set0_get_4;127.0.0.1;1102;16;64;1000114
8;32;set0_get_4;127.0.0.1;1102;28;230;1000320
9;32;set0_get_4;127.0.0.1;1102;32;443;1000460
10;32;set0_get_4;127.0.0.1;1102;30;435;1000165
11;32;set0_get_4;127.0.0.1;1102;14;371;1000115
12;32;set0_get_4;127.0.0.1;1102;16;356;1000095
13;32;set0_get_4;127.0.0.1;1102;30;371;1000135
13;0;OFFLINE;127.0.0.1;1102;75;371;1000121
22;32;set0_get_4;127.0.0.1;1101;718626;25;1719567
23;32;set0_get_4;127.0.0.1;1101;438;35;1000519
24;32;set0_get_4;127.0.0.1;1101;153;52;1000282
